MovieName,ReleaseYear,Duration,IMDBRating,Metascore,Votes,Genre,Gross,GrossRevenue ,Budget
Space Jam,1996,88,6.5,57,212620,Animation,$90.46M,90460000,80000000
The Cable Guy,1996,96,6.1,56,177535,Comedy,$60.24M,60240000,47000000
Tombstone,1993,130,7.8,50,165328,Biography,$56.51M,56510000,25000000
Kalifornia,1993,117,6.7,49,57914,Crime,$2.40M,2400000,9000000
Strange Days,1995,145,7.2,66,78147,Crime,$7.92M,7920000,42000000
Johnny Mnemonic,1995,103,5.6,36,75998,Action,$19.08M,19080000,25000000
Army of Darkness,1992,81,7.4,59,193743,Comedy,$11.50M,11500000,11000000
Swingers,1996,96,7.2,71,87885,Comedy,$4.51M,4510000,200000
From Dusk Till Dawn,1996,108,7.2,48,339153,Action,$25.75M,25750000,19000000
Cool Runnings,1993,98,7,60,113353,Adventure,$68.86M,68860000,14000000
Broken Arrow,1996,108,6.1,61,104950,Action,$70.77M,70770000,50000000
Bound,1996,109,7.3,64,60449,Crime,$3.80M,3800000,4500000
Gummo,1997,89,6.6,19,38079,Comedy,$0.02M,20000,1300000
Conspiracy Theory,1997,135,6.7,50,106906,Action,$75.98M,75980000,75000000
Robin Hood: Men in Tights,1993,104,6.7,44,136256,Adventure,$35.74M,35740000,20000000
Scream 2,1997,120,6.3,62,208838,Horror,$101.36M,101360000,24000000
Billy Madison,1995,89,6.3,16,155883,Comedy,$25.59M,25590000,10000000
Speed 2: Cruise Control,1997,121,3.9,24,85775,Action,$48.61M,48610000,160000000
In the Line of Fire,1993,128,7.2,74,113201,Action,$102.31M,102310000,40000000
George of the Jungle,1997,92,5.5,53,84124,Action,$105.26M,105260000,55000000
The Ghost and the Darkness,1996,110,6.8,46,65803,Adventure,$38.62M,38620000,50000000
The Full Monty,1997,91,7.2,75,113805,Comedy,$45.95M,45950000,3500000
Midnight in the Garden of Good and Evil,1997,155,6.6,56,41352,Crime,$25.08M,25080000,35000000
James and the Giant Peach,1996,79,6.7,78,73801,Animation,$28.93M,28930000,38000000
Sabrina,1995,127,6.3,56,44308,Comedy,$53.67M,53670000,58000000
Buffy the Vampire Slayer,1992,86,5.7,48,49278,Action,$16.62M,16620000,7000000
The Birdcage,1996,117,7.2,71,99978,Comedy,$124.06M,124060000,31000000
Indecent Proposal,1993,117,6,45,77788,Drama,$106.61M,106610000,38000000
Payback,1999,100,7.1,46,145176,Action,$81.53M,81530000,90000000
Hannibal,2001,131,6.8,57,292235,Crime,$165.09M,165090000,87000000
The Sixth Sense,1999,107,8.2,64,1047500,Drama,$293.51M,293510000,40000000
A.I. Artificial Intelligence,2001,146,7.2,65,322235,Adventure,$78.62M,78620000,100000000
Donnie Darko,2001,113,8,88,847119,Drama,$1.48M,1480000,6000000
The Matrix,1999,136,8.7,73,2043258,Action,$171.48M,171480000,63000000
Hollow Man,2000,112,5.8,24,138070,Action,$73.21M,73210000,95000000
The Big Lebowski,1998,117,8.1,71,857454,Comedy,$17.50M,17500000,15000000
The Green Mile,1999,189,8.6,61,1400705,Crime,$136.80M,136800000,60000000
Saving Private Ryan,1998,169,8.6,91,1490584,Drama,$216.54M,216540000,70000000
Lola rennt,1998,81,7.7,79,206505,Action,$7.27M,7270000,1530000
Requiem for a Dream,2000,102,8.3,71,895460,Drama,$3.64M,3640000,4500000
Star Wars: Episode I - The Phantom Menace,1999,136,6.5,51,853269,Action,$474.54M,474540000,115000000
Shrek,2001,90,7.9,84,730909,Animation,$267.67M,267670000,60000000
Austin Powers: The Spy Who Shagged Me,1999,95,6.6,59,248113,Action,$206.04M,206040000,33000000
The Fast and the Furious,2001,106,6.8,58,417833,Action,$144.53M,144530000,38000000
Gladiator,2000,155,8.5,67,1612176,Action,$187.71M,187710000,103000000
Bridget Jones's Diary,2001,97,6.8,66,262480,Comedy,$71.54M,71540000,25000000
Final Destination,2000,98,6.7,39,278195,Horror,$53.33M,53330000,23000000
Godzilla,1998,139,5.4,32,202593,Action,$136.31M,136310000,130000000
Magnolia,1999,188,8,78,327550,Drama,$22.46M,22460000,37000000
Amores perros,2000,154,8.1,83,252229,Drama,$5.38M,5380000,2000000
Stuart Little,1999,84,6,61,148360,Adventure,$140.04M,140040000,133000000
